name,compressed_bit_size,original_bit_theory,avg_bit_per_entry,time_quantlization,time_val2index,time_encoding,time_used
R_1_E_0_S_20_B_57.pt,807009706,1086324736,11.886091578420984,5.356282711029053,5.943209171295166,38.73898005485535,50.038471937179565
R_0_E_0_S_5_B_102.pt,975848816,1086324736,14.372848687484918,5.544615745544434,5.994728088378906,38.123502254486084,49.662846088409424
R_0_E_0_S_5_B_31.pt,912309452,1086324736,13.43700529709746,1.9635674953460693,3.9256818294525146,44.397727489471436,50.28697681427002
R_0_E_0_S_8_B_67.pt,901729506,1086324736,13.281177918423097,5.093149185180664,5.438246011734009,40.85148763656616,51.382882833480835
R_1_E_0_S_28_B_18.pt,793087754,1086324736,11.68104126094391,3.7716970443725586,6.678517580032349,41.55342960357666,52.00364422798157
R_0_E_0_S_43_B_75.pt,168833204,235053056,11.492432006499843,0.6418418884277344,1.597599744796753,10.895566940307617,13.135008573532104
R_0_E_0_S_40_B_115.pt,141387462,235053056,9.624207532107134,0.3791031837463379,1.9083795547485352,11.807372808456421,14.094855546951294
R_0_E_0_S_27_B_119.pt,165519892,234897408,11.274361409726582,0.0818636417388916,0.895688533782959,18.07632875442505,19.0538809299469
R_1_E_0_S_13_B_20.pt,191882986,235053056,13.06142463427491,0.42124247550964355,4.241907119750977,16.957107543945312,21.620257139205933
R_0_E_0_S_5_B_75.pt,187447234,235053056,12.75948415663228,0.7835419178009033,2.0472683906555176,18.405158758163452,21.235969066619873
R_0_E_0_S_38_B_100.pt,158879428,235053056,10.814881079444463,0.7556779384613037,3.802506923675537,17.9296817779541,22.487866640090942
R_0_E_0_S_48_B_9.pt,179972608,234897408,12.258805886866151,0.38649892807006836,3.4548966884613037,19.014872312545776,22.85626792907715
R_1_E_0_S_17_B_54.pt,191342202,234897408,13.033243993905629,0.6455659866333008,4.500339984893799,17.62895894050598,22.77486491203308
R_1_E_0_S_10_B_85.pt,188323766,235053056,12.819149460452026,0.6082682609558105,2.16915225982666,18.893374919891357,21.670795440673828
R_0_E_0_S_41_B_30.pt,167611436,235053056,11.409266578520894,0.6409356594085693,3.7164604663848877,21.016875743865967,25.374271869659424
R_1_E_0_S_3_B_10.pt,198747316,235053056,13.528677780730492,0.5682032108306885,4.011250257492065,22.498262882232666,27.07771635055542
R_0_E_0_S_5_B_5.pt,188091858,235053056,12.803363543590772,0.6759383678436279,4.775414705276489,20.17068314552307,25.62203621864319
R_0_E_0_S_4_B_40.pt,204651792,235053056,13.93059391663472,0.49796199798583984,4.257789850234985,23.740402221679688,28.496154069900513
R_0_E_0_S_12_B_125.pt,223660722,235053056,15.224526806407486,0.41118335723876953,5.333662509918213,22.87478280067444,28.61962866783142
R_1_E_0_S_47_B_47.pt,784343316,1086324736,11.552248273577009,3.618464469909668,5.4063591957092285,34.82903432846069,43.85385799407959
R_1_E_0_S_21_B_16.pt,819888698,1086324736,12.075780596051898,3.6171882152557373,5.44269871711731,36.24971580505371,45.30960273742676
R_1_E_0_S_28_B_131.pt,479411412,1086324736,7.061040163960696,2.5097169876098633,5.660419940948486,38.45972681045532,46.62986373901367
R_1_E_0_S_39_B_66.pt,805214296,1086324736,11.859647772947334,2.6099624633789062,6.243961334228516,38.15970420837402,47.013628005981445
R_1_E_0_S_5_B_63.pt,883659056,1086324736,13.015026195629224,2.7681989669799805,6.170102119445801,38.71907687187195,47.65737795829773
R_1_E_0_S_25_B_37.pt,796914310,1086324736,11.737400923916733,3.346332311630249,9.909088134765625,35.14390802383423,48.3993284702301
R_0_E_0_S_50_B_46.pt,789282630,1086324736,11.624997260487678,4.531226634979248,8.492274522781372,34.85473704338074,47.87823820114136
R_1_E_0_S_40_B_68.pt,768021390,1086324736,11.311849792951783,3.578310966491699,8.270304441452026,35.52489233016968,47.3735077381134
R_1_E_0_S_20_B_41.pt,818032272,1086324736,12.048438112708132,3.3530781269073486,7.296107053756714,37.19909644126892,47.84828162193298
R_1_E_0_S_32_B_52.pt,797103220,1086324736,11.7401832963509,2.9286484718322754,8.52536392211914,36.526801109313965,47.98081350326538
R_1_E_0_S_43_B_138.pt,577833534,1086324736,8.510656378904365,2.1183390617370605,3.0051677227020264,43.553725719451904,48.67723250389099
R_0_E_0_S_39_B_62.pt,813807286,1086324736,11.986210149227421,3.446998357772827,7.377546548843384,37.96635890007019,48.7909038066864
R_1_E_0_S_37_B_97.pt,805657720,1086324736,11.866178770323057,3.367284059524536,9.608203411102295,36.22980237007141,49.20528984069824
R_0_E_0_S_3_B_116.pt,974621230,1086324736,14.35476811235936,2.51519775390625,9.805026292800903,37.050893783569336,49.37111783027649
R_1_E_0_S_1_B_92.pt,1093795972,1086324736,16.110040554208645,3.001229763031006,10.756500482559204,36.892454385757446,50.650184631347656
